"id:ID","type:LABEL","name","entity_type","report_index","document_id","annotated_items_count","total_triplets","category"
"report_0","MedicalReport","","","0","","0","0",""
"feature_chronic_metabolic_failure","MedicalFeature","chronic metabolic failure","","","","","","Chronic Condition"
"entity_diabetes_mellitus_type_2_0","MedicalEntity","Diabetes mellitus type 2","Disease","","","","",""
"entity_metabolic_disorder_1","MedicalEntity","metabolic disorder","Entity","","","","",""
"feature_history_of_allergy","MedicalFeature","history of allergy","","","","","","Medical History"
"entity_allergies_2","MedicalEntity","ALLERGIES","Entity","","","","",""
"entity_none_known_3","MedicalEntity","none known","Entity","","","","",""
"feature_poly_pharmacological_therapy","MedicalFeature","poly-pharmacological therapy","","","","","","Treatment"
"entity_therapy_4","MedicalEntity","Therapy","Medical Concept","","","","",""
"entity_multiple_medications_5","MedicalEntity","multiple medications","Entity","","","","",""
"feature_antihypertensive_therapy","MedicalFeature","antihypertensive therapy","","","","","","Treatment"
"entity_therapy_6","MedicalEntity","Therapy","Medical Concept","","","","",""
"entity_iperten_7","MedicalEntity","iperten","Entity","","","","",""
"feature_cardiovascular_diseases","MedicalFeature","cardiovascular diseases","","","","","","Disease"
"entity_past_medical_history_8","MedicalEntity","Past Medical History","Entity","","","","",""
"entity_cad_9","MedicalEntity","CAD","Disease","","","","",""
"feature_level_of_consciousness","MedicalFeature","level of consciousness","","","","","","General"
"entity_patient_10","MedicalEntity","Patient","Medical Concept","","","","",""
"entity_conscious_11","MedicalEntity","conscious","Entity","","","","",""
"feature_respiratory_rate","MedicalFeature","respiratory rate","","","","","","Vital Sign"
"entity_rf_12","MedicalEntity","RF","Vital Sign","","","","",""
"entity_14_apm_13","MedicalEntity","14 apm","Vital Sign","","","","",""
"feature_heart_rate","MedicalFeature","heart rate","","","","","","Vital Sign"
"entity_hr_14","MedicalEntity","HR","Vital Sign","","","","",""
"entity_80_bpm_15","MedicalEntity","80 bpm","Vital Sign","","","","",""
"feature_blood_pressure","MedicalFeature","blood pressure","","","","","","Vital Sign"
"entity_bp_16","MedicalEntity","BP","Vital Sign","","","","",""
"entity_120_80_mm_hg_17","MedicalEntity","120/80 mm/hg","Entity","","","","",""
"feature_head_or_other_districts_trauma","MedicalFeature","head or other districts trauma","","","","","","Injury"
"entity_head_18","MedicalEntity","Head","Entity","","","","",""
"entity_occipital_region_19","MedicalEntity","occipital region","Entity","","","","",""
"feature_spo2","MedicalFeature","spo2","","","","","","General"
"entity_spo2_20","MedicalEntity","SpO2","Vital Sign","","","","",""
"entity_99__21","MedicalEntity","99%","Vital Sign","","","","",""
"feature_agitation","MedicalFeature","agitation","","","","","","General"
"entity_patient_22","MedicalEntity","Patient","Medical Concept","","","","",""
"entity_agitated_23","MedicalEntity","agitated","Entity","","","","",""
"report_1","MedicalReport","","","1","","0","0",""
"feature_active_neoplasia","MedicalFeature","active neoplasia","","","","","","General"
"entity_prostate_cancer_excision_24","MedicalEntity","prostate cancer excision","Disease","","","","",""
"entity_therapy_25","MedicalEntity","therapy","Medical Concept","","","","",""
"entity_allergy_26","MedicalEntity","allergy","Entity","","","","",""
"entity_insect_venom_27","MedicalEntity","insect venom","Diagnostic Procedure","","","","",""
"entity_hypertensive_28","MedicalEntity","hypertensive","Entity","","","","",""
"entity_therapy_29","MedicalEntity","therapy","Medical Concept","","","","",""
"feature_hemoglobin","MedicalFeature","hemoglobin","","","","","","General"
"entity_hgt_30","MedicalEntity","HGT","Entity","","","","",""
"entity_78_31","MedicalEntity","78","Entity","","","","",""
"feature_c_reactive_protein","MedicalFeature","c-reactive protein","","","","","","General"
"entity_crp_32","MedicalEntity","CRP","Entity","","","","",""
"entity_nothing_33","MedicalEntity","nothing","Entity","","","","",""
"feature_brain_ct_scan__any_abnormality","MedicalFeature","brain ct scan, any abnormality","","","","","","Imaging"
"entity_ct_34","MedicalEntity","CT","Diagnostic Procedure","","","","",""
"entity_not_significant_35","MedicalEntity","not significant","Entity","","","","",""
"report_2","MedicalReport","","","2","","0","0",""
"feature_history_of_recent_trauma","MedicalFeature","history of recent trauma","","","","","","Medical History"
"entity_patient_36","MedicalEntity","Patient","Medical Concept","","","","",""
"entity_left_knee_injury_37","MedicalEntity","left knee injury","Entity","","","","",""
"entity_patient_38","MedicalEntity","Patient","Medical Concept","","","","",""
"entity_arterial_hypertension_39","MedicalEntity","arterial hypertension","Disease","","","","",""
"report_3","MedicalReport","","","3","","0","0",""
"entity_hyperthyroidism_40","MedicalEntity","Hyperthyroidism","Entity","","","","",""
"entity_metabolic_failure_41","MedicalEntity","metabolic failure","Entity","","","","",""
"entity_allergies_42","MedicalEntity","Allergies","Entity","","","","",""
"entity_no_known_drug_allergies_43","MedicalEntity","no known drug allergies","Entity","","","","",""
"feature_anticoagulants_or_antiplatelet_drug_therapy","MedicalFeature","anticoagulants or antiplatelet drug therapy","","","","","","Treatment"
"entity_warfarin_44","MedicalEntity","warfarin","Vital Sign","","","","",""
